        Sorten                  Land            Milch-Art
1       Passendale              Belgien         Kuh               
2       Kaschkawal              Bulgarien       Schaf-Kuh
3       Havarti                 Dänemark        Kuh
4       Harzerkaese             Deutschland     Kuh
5       Kochkaese               Deutschland     -
6       Etorki                  Frankreich      Schaf
7       Pecorino Sardo          Italien         Schaf
8       Puzzone di Moena        Italien         Kuh
9       Gouda                   Niederlande     Kuhmilch
10      Berner Alpkäse          Schweiz         Kuhroh
